
=== Sensor Logging Session Started at 2025-08-26 18:30:34.826 ===
2025-08-26 18:47:16.422 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.424 - Sensor: odo, Value: 4, Old Value: 3, Critical: No
2025-08-26 18:47:16.426 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.476 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.528 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.529 - Sensor: odo, Value: 4, Old Value: 3, Critical: No
2025-08-26 18:47:16.579 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.630 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.643 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.644 - Sensor: odo, Value: 4, Old Value: 3, Critical: No
2025-08-26 18:47:16.694 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.746 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.754 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.755 - Sensor: odo, Value: 4, Old Value: 3, Critical: No
2025-08-26 18:47:16.805 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.855 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.858 - Sensor: odo, Value: 4, Old Value: 3, Critical: No
2025-08-26 18:47:16.859 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.910 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 18:47:16.961 - Sensor: speed, Value: 4, Old Value: 5, Critical: Yes
2025-08-26 18:47:16.961 - Sensor: odo, Value: 6, Old Value: 4, Critical: No
2025-08-26 18:47:16.964 - Sensor: speed, Value: 4, Old Value: 5, Critical: Yes
2025-08-26 18:47:17.015 - Sensor: speed, Value: 4, Old Value: 5, Critical: Yes
2025-08-26 18:47:17.066 - Sensor: odo, Value: 6, Old Value: 4, Critical: No
2025-08-26 18:47:17.068 - Sensor: speed, Value: 4, Old Value: 5, Critical: Yes
2025-08-26 18:47:17.120 - Sensor: speed, Value: 4, Old Value: 5, Critical: Yes
2025-08-26 18:47:17.171 - Sensor: odo, Value: 6, Old Value: 4, Critical: No
2025-08-26 18:47:17.181 - Sensor: speed, Value: 4, Old Value: 5, Critical: Yes
2025-08-26 18:47:17.233 - Sensor: speed, Value: 4, Old Value: 5, Critical: Yes
2025-08-26 18:47:17.276 - Sensor: odo, Value: 6, Old Value: 4, Critical: No
2025-08-26 18:47:17.279 - Sensor: speed, Value: 4, Old Value: 5, Critical: Yes
2025-08-26 18:47:17.330 - Sensor: speed, Value: 4, Old Value: 5, Critical: Yes
2025-08-26 18:47:17.381 - Sensor: odo, Value: 6, Old Value: 4, Critical: No
2025-08-26 18:47:17.381 - Sensor: speed, Value: 4, Old Value: 5, Critical: Yes
2025-08-26 18:47:17.436 - Sensor: speed, Value: 4, Old Value: 5, Critical: Yes
2025-08-26 18:47:17.487 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:17.493 - Sensor: odo, Value: 7, Old Value: 6, Critical: No
2025-08-26 18:47:17.494 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:17.545 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:17.597 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:17.605 - Sensor: odo, Value: 7, Old Value: 6, Critical: No
2025-08-26 18:47:17.608 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:17.659 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:17.709 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:17.710 - Sensor: odo, Value: 7, Old Value: 6, Critical: No
2025-08-26 18:47:17.761 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:17.813 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:17.820 - Sensor: odo, Value: 7, Old Value: 6, Critical: No
2025-08-26 18:47:17.820 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:17.872 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:17.922 - Sensor: odo, Value: 7, Old Value: 6, Critical: No
2025-08-26 18:47:17.926 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:17.979 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:18.031 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:18.040 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:18.041 - Sensor: odo, Value: 7, Old Value: 6, Critical: No
2025-08-26 18:47:18.091 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:18.142 - Sensor: odo, Value: 7, Old Value: 6, Critical: No
2025-08-26 18:47:18.143 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:18.194 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:18.245 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:18.245 - Sensor: odo, Value: 7, Old Value: 6, Critical: No
2025-08-26 18:47:18.296 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:18.349 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:18.351 - Sensor: odo, Value: 7, Old Value: 6, Critical: No
2025-08-26 18:47:18.355 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:18.408 - Sensor: speed, Value: 8, Old Value: 4, Critical: Yes
2025-08-26 18:47:18.454 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:18.455 - Sensor: odo, Value: 9, Old Value: 7, Critical: No
2025-08-26 18:47:18.509 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:18.564 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:18.567 - Sensor: odo, Value: 9, Old Value: 7, Critical: No
2025-08-26 18:47:18.569 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:18.622 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:18.675 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:18.676 - Sensor: odo, Value: 9, Old Value: 7, Critical: No
2025-08-26 18:47:18.726 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:18.778 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:18.788 - Sensor: odo, Value: 9, Old Value: 7, Critical: No
2025-08-26 18:47:18.789 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:18.843 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:18.892 - Sensor: odo, Value: 9, Old Value: 7, Critical: No
2025-08-26 18:47:18.899 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:18.954 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:18.992 - Sensor: odo, Value: 9, Old Value: 7, Critical: No
2025-08-26 18:47:18.994 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:19.047 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:19.098 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:19.123 - Sensor: odo, Value: 9, Old Value: 7, Critical: No
2025-08-26 18:47:19.125 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:19.176 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:19.227 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:19.230 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:19.230 - Sensor: odo, Value: 9, Old Value: 7, Critical: No
2025-08-26 18:47:19.283 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:19.333 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:19.334 - Sensor: odo, Value: 9, Old Value: 7, Critical: No
2025-08-26 18:47:19.390 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:19.438 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:19.441 - Sensor: odo, Value: 9, Old Value: 7, Critical: No
2025-08-26 18:47:19.493 - Sensor: speed, Value: 4, Old Value: 8, Critical: Yes
2025-08-26 18:47:19.541 - Sensor: odo, Value: 11, Old Value: 9, Critical: No
